txid,from,to,amount
002740a49e16fc127b0a58a887e5ad77cc4d5114a38aa6df0922cfebb76569f4,3HLqRkgagCCeChBBmWuDkp54YR1LEz7NuK,17AuTmGhZ4HBoJtntpN9n6vHkP5LNnrt5q,5.85006242
002eaecebf435e9bc3e2f3c4804ee6dd89c1dc342585d216394e1f447dfef7f8,3JEirUZxifRHf7FCY2Z79e3k8FMgGM9ehY,1L14Rw9G4P173tTZdMKsFPpMNY9WdiLKK7,7.48209341
0038cd4166d80a95d6bf1420beb9d16c9fb5cec19fa31f3c45bcab91f38904b5,36tGwveXwuEnmagxrraUv2XKJXeAEzP9iB,1G1yQeKMY8mH1H5v1EbmaSegpBML8T8LuR,7.58661464
0083abb19ca6ce1ff1dd55ffa6531fe4d88d3ec884d93ee3c3f9a03efb4cb1b1,3F14ooo4Z4BchZrFNSxF5jgssMjJcKPfay,1PsMd9HzNxfyFNRQRxsjjvvzX48EmZVn9n,13.20420957
00934630d88a064f60a9d294de072d5fe49620f2d6d72749fed7d0728bd2dcc6,3A5zJnUeZqqjrNJCAZZkKYxh6ZgdcAKps3,1Pvw3xFhAS2i58fSdSJ7ZuHXHLSe62KcKx,5.71655452
00d4189eca25abcf1381bff4db78db8a8edf8f11c5deb095fe7aa7cddb09f44c,35wqRthgict67zRChT3euuL3Z59uMKSryv,1NCzDib1QNF8dRD2WErgV4HSZkgyci5J8Y,59.99714588
00e43489afb85a0d3bd05f3a30b2280416d7d333d528405e41fdb4164fde554c,3CejBDbGoEPsmyjmnv1YuML4prFg6hi2rg,1P4jiBBQ4X3VAmueSv673cxEimxFfDFYMK,13.93309852
00fa784235855c1923e85557be5c5b5909eadcbd19935241b37b5ba6d94533e2,39pj2d5ZuzkCXV23BaG9Re6X8xD4vmhFNc,16T27MoP4tpPeK4C9dtDCZPqGdrG2YYmMP,7.49952117
0113e56efa662e7afb75ab00d3494cbd573e6334db8b6108d42df26c5381efdc,38i9VmL9F9phFieV9HKZcBSZsW2LnVWJ49,1rJmrG2Ys22pELEHzRftdfaruxuTqU2qm,87.10127306
011c0366033ac9d0a5ca5a878a3f16f65495942b2a50d1c1f23f582d7d95477a,3PuTHoR6WphgBYJAwd1XfC5uc3QnpJxMWf,1yUW75KTCyDvDLUG4fqYiZ9SoQppi1UUi,32.0797622
